star 1	err	star 2	err	star 3		2-1	3-1	3-2	HJD	Epoch	error 3-2	error 2-1	error 3-1	phase	new phase
-11.641	0.003	-8.485	0.017	-8.884	0.013	3.156	2.757	-0.399	2459522.577	59522.57739	0.01334166406	0.02140093456	0.01334166406	0.8394061932	0.9549826962
-11.625	0.003	-8.475	0.017	-8.865	0.013	3.15	2.76	-0.39	2459522.578	59522.57758	0.01334166406	0.02140093456	0.01334166406	0.8399871981	0.9555637011
-11.585	0.003	-8.408	0.018	-8.806	0.013	3.177	2.779	-0.398	2459522.578	59522.57777	0.01334166406	0.02220360331	0.01334166406	0.8405724731	0.9561489761
-11.631	0.003	-8.457	0.017	-8.843	0.013	3.174	2.788	-0.386	2459522.578	59522.57795	0.01334166406	0.02140093456	0.01334166406	0.8411541939	0.9567306968
-11.674	0.003	-8.491	0.016	-8.905	0.013	3.183	2.769	-0.414	2459522.578	59522.57814	0.01334166406	0.02061552813	0.01334166406	0.8417373491	0.957313852
-11.653	0.003	-8.485	0.017	-8.888	0.013	3.168	2.765	-0.403	2459522.578	59522.57833	0.01334166406	0.02140093456	0.01334166406	0.8423201297	0.9578966326
-11.637	0.003	-8.45	0.017	-8.875	0.013	3.187	2.762	-0.425	2459522.579	59522.57851	0.01334166406	0.02140093456	0.01334166406	0.8429029103	0.9584794132
-11.637	0.003	-8.481	0.017	-8.864	0.013	3.156	2.773	-0.383	2459522.579	59522.5787	0.01334166406	0.02140093456	0.01334166406	0.8434835087	0.9590600116
-11.609	0.003	-8.432	0.017	-8.852	0.013	3.177	2.757	-0.42	2459522.579	59522.57889	0.01334166406	0.02140093456	0.01334166406	0.8440691887	0.9596456917
-11.647	0.003	-8.5	0.017	-8.893	0.012	3.147	2.754	-0.393	2459522.579	59522.57908	0.01236931688	0.02080865205	0.01236931688	0.8446563033	0.9602328063
-11.606	0.003	-8.428	0.017	-8.846	0.013	3.178	2.76	-0.418	2459522.579	59522.57926	0.01334166406	0.02140093456	0.01334166406	0.8452423275	0.9608188305
-11.615	0.003	-8.461	0.017	-8.866	0.013	3.154	2.749	-0.405	2459522.579	59522.57946	0.01334166406	0.02140093456	0.01334166406	0.8458416963	0.9614181993
-11.632	0.003	-8.469	0.016	-8.868	0.013	3.163	2.764	-0.399	2459522.58	59522.57964	0.01334166406	0.02061552813	0.01334166406	0.8464212653	0.9619977682
-11.594	0.003	-8.426	0.017	-8.834	0.013	3.168	2.76	-0.408	2459522.58	59522.57983	0.01334166406	0.02140093456	0.01334166406	0.8470037033	0.9625802062
-11.487	0.003	-8.327	0.019	-8.737	0.014	3.16	2.75	-0.41	2459522.58	59522.58003	0.01431782106	0.02360084744	0.01431782106	0.84762471	0.963201213
-11.617	0.003	-8.448	0.017	-8.852	0.013	3.169	2.765	-0.404	2459522.58	59522.58022	0.01334166406	0.02140093456	0.01334166406	0.8482085825	0.9637850854
-11.661	0.003	-8.486	0.017	-8.914	0.013	3.175	2.747	-0.428	2459522.58	59522.58041	0.01334166406	0.02140093456	0.01334166406	0.8488075767	0.9643840796
-11.626	0.003	-8.48	0.016	-8.87	0.013	3.146	2.756	-0.39	2459522.581	59522.58059	0.01334166406	0.02061552813	0.01334166406	0.8493878629	0.9649643658
-11.702	0.003	-8.534	0.016	-8.954	0.012	3.168	2.748	-0.42	2459522.581	59522.58078	0.01236931688	0.02	0.01236931688	0.8499706435	0.9655471464
-11.65	0.003	-8.489	0.016	-8.892	0.013	3.161	2.758	-0.403	2459522.581	59522.58097	0.01334166406	0.02061552813	0.01334166406	0.8505577596	0.9661342625
-11.627	0.003	-8.464	0.017	-8.887	0.013	3.163	2.74	-0.423	2459522.581	59522.58116	0.01334166406	0.02140093456	0.01334166406	0.8511369234	0.9667134264
-11.687	0.003	-8.538	0.016	-8.929	0.012	3.149	2.758	-0.391	2459522.581	59522.58135	0.01236931688	0.02	0.01236931688	0.8517471424	0.9673236454
-11.644	0.003	-8.46	0.016	-8.88	0.013	3.184	2.764	-0.42	2459522.582	59522.58154	0.01334166406	0.02061552813	0.01334166406	0.8523284885	0.9679049915
-11.65	0.003	-8.509	0.016	-8.913	0.013	3.141	2.737	-0.404	2459522.582	59522.58173	0.01334166406	0.02061552813	0.01334166406	0.85291523	0.9684917329
-11.617	0.003	-8.46	0.017	-8.873	0.013	3.157	2.744	-0.413	2459522.582	59522.58192	0.01334166406	0.02140093456	0.01334166406	0.8535293764	0.9691058794
-11.651	0.003	-8.476	0.016	-8.879	0.013	3.175	2.772	-0.403	2459522.582	59522.58211	0.01334166406	0.02061552813	0.01334166406	0.8541118144	0.9696883173
-11.668	0.003	-8.531	0.016	-8.91	0.013	3.137	2.758	-0.379	2459522.582	59522.5823	0.01334166406	0.02061552813	0.01334166406	0.8546913848	0.9702678877
-11.652	0.003	-8.493	0.016	-8.892	0.012	3.159	2.76	-0.399	2459522.582	59522.58248	0.01236931688	0.02	0.01236931688	0.8552788421	0.970855345
-11.672	0.003	-8.517	0.016	-8.912	0.012	3.155	2.76	-0.395	2459522.583	59522.58267	0.01236931688	0.02	0.01236931688	0.8558616227	0.9714381256
