star 1	err	star 2	err	star 3	err	HJD	2-1	3-1	3-2	Epoch	error 3-2	error 2-1	error 3-1	phase	new pahse
-12.662	0.003	-9.456	0.019	-10.505	0.009	2459522.578	3.206	2.157	-1.049	59522.57801	0.02102379604	0.01923538406	0.009486832981	0.8407529411	0.9569114769
-12.578	0.003	-9.409	0.02	-10.445	0.01	2459522.578	3.169	2.133	-1.036	59522.5782	0.02236067977	0.02022374842	0.01044030651	0.8413349739	0.9574968143
-12.692	0.003	-9.507	0.019	-10.538	0.009	2459522.578	3.185	2.154	-1.031	59522.57839	0.02102379604	0.01923538406	0.009486832981	0.8419203114	0.9580803122
-12.682	0.003	-9.485	0.019	-10.541	0.009	2459522.578	3.197	2.141	-1.056	59522.57857	0.02102379604	0.01923538406	0.009486832981	0.8425038092	0.958660536
-12.636	0.003	-9.488	0.019	-10.485	0.01	2459522.579	3.148	2.151	-0.997	59522.57876	0.02147091055	0.01923538406	0.01044030651	0.843084033	0.9592426008
-12.663	0.003	-9.523	0.018	-10.529	0.009	2459522.579	3.14	2.134	-1.006	59522.57895	0.0201246118	0.01824828759	0.009486832981	0.8436660978	0.9598308058
-12.602	0.003	-9.454	0.02	-10.464	0.01	2459522.579	3.148	2.138	-1.01	59522.57914	0.02236067977	0.02022374842	0.01044030651	0.8442543028	0.96041577
-12.569	0.003	-9.387	0.02	-10.427	0.01	2459522.579	3.182	2.142	-1.04	59522.57932	0.02236067977	0.02022374842	0.01044030651	0.8448392671	0.9610010755
-12.624	0.003	-9.434	0.02	-10.502	0.009	2459522.579	3.19	2.122	-1.068	59522.57951	0.0219317122	0.02022374842	0.009486832981	0.8454245726	0.9615990099
-12.655	0.003	-9.461	0.02	-10.509	0.01	2459522.58	3.194	2.146	-1.048	59522.5797	0.02236067977	0.02022374842	0.01044030651	0.8460225069	0.9621817905
-12.573	0.003	-9.362	0.021	-10.442	0.01	2459522.58	3.211	2.131	-1.08	59522.57989	0.0232594067	0.02121320344	0.01044030651	0.8466052875	0.9627634807
-12.594	0.003	-9.452	0.02	-10.438	0.01	2459522.58	3.142	2.156	-0.986	59522.58009	0.02236067977	0.02022374842	0.01044030651	0.8471869777	0.9633819931
-12.553	0.003	-9.401	0.02	-10.412	0.01	2459522.58	3.152	2.141	-1.011	59522.58027	0.02236067977	0.02022374842	0.01044030651	0.8478054901	0.9639673
-12.638	0.003	-9.485	0.019	-10.518	0.009	2459522.58	3.153	2.12	-1.033	59522.58047	0.02102379604	0.01923538406	0.009486832981	0.8483907971	0.9645641744
-12.633	0.003	-9.46	0.019	-10.464	0.01	2459522.58	3.173	2.169	-1.004	59522.58065	0.02147091055	0.01923538406	0.01044030651	0.8489876715	0.9651455205
-12.661	0.003	-9.539	0.018	-10.535	0.009	2459522.581	3.122	2.126	-0.996	59522.58084	0.0201246118	0.01824828759	0.009486832981	0.8495690176	0.9657333524
-12.644	0.003	-9.452	0.02	-10.507	0.009	2459522.581	3.192	2.137	-1.055	59522.58103	0.0219317122	0.02022374842	0.009486832981	0.8501568494	0.9663154157
-12.668	0.003	-9.515	0.019	-10.522	0.01	2459522.581	3.153	2.146	-1.007	59522.58121	0.02147091055	0.01923538406	0.01044030651	0.8507389128	0.9668971059
-12.623	0.003	-9.496	0.019	-10.483	0.01	2459522.581	3.127	2.14	-0.987	59522.58141	0.02147091055	0.01923538406	0.01044030651	0.851320603	0.9675044255
-12.68	0.003	-9.5	0.019	-10.53	0.009	2459522.581	3.18	2.15	-1.03	59522.5816	0.02102379604	0.01923538406	0.009486832981	0.8519279225	0.9680868634
-12.664	0.003	-9.511	0.019	-10.504	0.009	2459522.582	3.153	2.16	-0.993	59522.58179	0.02102379604	0.01923538406	0.009486832981	0.8525103605	0.9687068103
-12.658	0.003	-9.53	0.018	-10.545	0.009	2459522.582	3.128	2.113	-1.015	59522.58198	0.0201246118	0.01824828759	0.009486832981	0.8531303074	0.9692874087
-12.665	0.003	-9.516	0.018	-10.526	0.009	2459522.582	3.149	2.139	-1.01	59522.58217	0.0201246118	0.01824828759	0.009486832981	0.8537109057	0.9698691294
-12.633	0.003	-9.479	0.019	-10.511	0.01	2459522.582	3.154	2.122	-1.032	59522.58236	0.02147091055	0.01923538406	0.01044030651	0.8542926264	0.9704565866
-12.589	0.003	-9.443	0.02	-10.479	0.01	2459522.582	3.146	2.11	-1.036	59522.58254	0.02236067977	0.02022374842	0.01044030651	0.8548800837	0.9710368728
