star 1	err	star 2	err	star 3	err	HJD	2-1	3-1	3-2	Epoch	error 3-2	error 2-1	error 3-1	phase
-13.238	0.003	-10.089	0.016	-11.5	0.007	2459522.575	3.149	1.738	-1.411	59522.57507	0.0174642492	0.0162788206	0.007615773106	0.9477338082
-13.293	0.003	-10.127	0.016	-11.551	0.006	2459522.575	3.166	1.742	-1.424	59522.57526	0.01708800749	0.0162788206	0.006708203932	0.948318398
-13.298	0.003	-10.125	0.016	-11.584	0.006	2459522.575	3.173	1.714	-1.459	59522.57544	0.01708800749	0.0162788206	0.006708203932	0.9489026435
-13.317	0.003	-10.166	0.015	-11.584	0.006	2459522.576	3.151	1.733	-1.418	59522.57563	0.01615549442	0.01529705854	0.006708203932	0.9494861414
-13.25	0.003	-10.103	0.016	-11.509	0.007	2459522.576	3.147	1.741	-1.406	59522.57582	0.0174642492	0.0162788206	0.007615773106	0.9500703565
-13.265	0.003	-10.085	0.016	-11.533	0.007	2459522.576	3.18	1.732	-1.448	59522.576	0.0174642492	0.0162788206	0.007615773106	0.9506524518
-13.28	0.003	-10.067	0.017	-11.544	0.006	2459522.576	3.213	1.736	-1.477	59522.57619	0.01802775638	0.0172626765	0.006708203932	0.9512319583
-13.199	0.003	-10.018	0.017	-11.461	0.007	2459522.576	3.181	1.738	-1.443	59522.57638	0.01838477631	0.0172626765	0.007615773106	0.9518140232
-13.25	0.003	-10.091	0.016	-11.517	0.007	2459522.577	3.159	1.733	-1.426	59522.57656	0.0174642492	0.0162788206	0.007615773106	0.9523957119
-13.256	0.003	-10.061	0.017	-11.531	0.006	2459522.577	3.195	1.725	-1.47	59522.57675	0.01802775638	0.0172626765	0.006708203932	0.952975625
-13.282	0.003	-10.118	0.016	-11.543	0.006	2459522.577	3.164	1.739	-1.425	59522.57694	0.01708800749	0.0162788206	0.006708203932	0.9535547889
-13.259	0.003	-10.077	0.017	-11.527	0.007	2459522.577	3.182	1.732	-1.45	59522.57712	0.01838477631	0.0172626765	0.007615773106	0.9541382867
-13.282	0.003	-10.097	0.016	-11.536	0.006	2459522.577	3.185	1.746	-1.439	59522.57731	0.01708800749	0.0162788206	0.006708203932	0.9547243095
-13.278	0.003	-10.116	0.016	-11.553	0.006	2459522.577	3.162	1.725	-1.437	59522.5775	0.01708800749	0.0162788206	0.006708203932	0.9553042225
-13.267	0.003	-10.106	0.016	-11.541	0.006	2459522.578	3.161	1.726	-1.435	59522.57768	0.01708800749	0.0162788206	0.006708203932	0.9558870031
-13.298	0.003	-10.127	0.016	-11.56	0.006	2459522.578	3.171	1.738	-1.433	59522.57787	0.01708800749	0.0162788206	0.006708203932	0.9564690984
-13.233	0.003	-10.094	0.017	-11.512	0.007	2459522.578	3.139	1.721	-1.418	59522.57806	0.01838477631	0.0172626765	0.007615773106	0.9570507872
-13.282	0.003	-10.142	0.016	-11.544	0.006	2459522.578	3.14	1.738	-1.402	59522.57824	0.01708800749	0.0162788206	0.006708203932	0.9576364688
-13.278	0.003	-10.103	0.016	-11.554	0.006	2459522.578	3.175	1.724	-1.451	59522.57843	0.01708800749	0.0162788206	0.006708203932	0.9582206839
-13.283	0.003	-10.103	0.016	-11.536	0.006	2459522.579	3.18	1.747	-1.433	59522.57862	0.01708800749	0.0162788206	0.006708203932	0.9588001904
-13.245	0.003	-10.063	0.017	-11.502	0.007	2459522.579	3.182	1.743	-1.439	59522.5788	0.01838477631	0.0172626765	0.007615773106	0.9593844374
-13.292	0.003	-10.12	0.016	-11.561	0.006	2459522.579	3.172	1.731	-1.441	59522.57899	0.01708800749	0.0162788206	0.006708203932	0.9599733292
-13.21	0.003	-10.045	0.017	-11.489	0.007	2459522.579	3.165	1.721	-1.444	59522.57918	0.01838477631	0.0172626765	0.007615773106	0.9605575748
-13.244	0.003	-10.034	0.017	-11.516	0.007	2459522.579	3.21	1.728	-1.482	59522.57937	0.01838477631	0.0172626765	0.007615773106	0.9611562263
-13.256	0.003	-10.072	0.016	-11.535	0.006	2459522.58	3.184	1.721	-1.463	59522.57956	0.01708800749	0.0162788206	0.006708203932	0.9617383216
